Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
Country,United States,,,,2.8184362466197044
State,Alabama,AL,,,2.23789000103336
State,Arizona,AZ,,,3.345996086773062
State,Arkansas,AR,,,2.9194407742386463
State,California,CA,,,1.652683486981843
State,Colorado,CO,,,2.023518011237213
State,Connecticut,CT,,,0.715736780502807
State,Delaware,DE,,,1.1007061562384512
State,Florida,FL,,,3.2491216045791305
State,Georgia,GA,,,4.776134083394923
State,Hawaii,HI,,,0.46612996279171703
State,Idaho,ID,,,6.887575625299114
State,Illinois,IL,,,1.8506840382565226
State,Indiana,IN,,,4.54740678494685
State,Iowa,IA,,,2.590628087840119
State,Kansas,KS,,,1.888626585328379
State,Kentucky,KY,,,3.0167299876921128
State,Louisiana,LA,,,0.7660586936140801
State,Maine,ME,,,2.821111884209704
State,Maryland,MD,,,0.6782812328957499
State,Massachusetts,MA,,,1.381362510462858
State,Michigan,MI,,,3.8118108953993035
State,Minnesota,MN,,,3.118589965028584
State,Mississippi,MS,,,2.5369852877775045
State,Missouri,MO,,,2.766323677213278
State,Montana,MT,,,2.2456170628547767
State,Nebraska,NE,,,3.1361160992580794
State,Nevada,NV,,,1.2648708992303526
State,New Hampshire,NH,,,2.3755661717196785
State,New Jersey,NJ,,,1.2483899566804402
State,New Mexico,NM,,,2.0765306903613334
State,New York,NY,,,4.302369786474536
State,North Carolina,NC,,,4.277770640410616
State,North Dakota,ND,,,2.265273277358304
State,Ohio,OH,,,3.0670626724841554
State,Oklahoma,OK,,,2.186958858892263
State,Oregon,OR,,,2.1766503876595955
State,Pennsylvania,PA,,,2.111501001705496
State,Rhode Island,RI,,,1.4605971301618226
State,South Carolina,SC,,,3.4142593677902955
State,South Dakota,SD,,,3.1615211653184483
State,Tennessee,TN,,,3.6451702621193016
State,Texas,TX,,,3.029266136308806
State,Utah,UT,,,4.836067216714346
State,Vermont,VT,,,3.6115290101784048
State,Virginia,VA,,,2.7813392317754593
State,Washington,WA,,,3.497360774478686
State,West Virginia,WV,,,0.9687184073996047
State,Wisconsin,WI,,,3.1708182273678
State,Wyoming,WY,,,3.268419530567046
County,Acadia Parish,LA,Acadia Parish,,0.28893636533424694
County,Ada County,ID,Ada County,,5.443348708315554
County,Adair County,MO,Adair County,,-0.7818186032793717
County,Adams County,CO,Adams County,,1.4615113419865766
County,Adams County,ID,Adams County,,2.869103469072032
County,Adams County,IL,Adams County,,2.273702331721039
County,Adams County,IN,Adams County,,3.2209779346900502
County,Adams County,PA,Adams County,,1.0738519284703152
County,Adams County,WA,Adams County,,2.120481165821686
County,Addison County,VT,Addison County,,1.6685986929159569
County,Aiken County,SC,Aiken County,,0.9948878087704616
County,Aitkin County,MN,Aitkin County,,2.33777051862214
County,Alachua County,FL,Alachua County,,3.935618740036162
County,Alamance County,NC,Alamance County,,3.1794516592723587
County,Alameda County,CA,Alameda County,,-0.8211921076190842
County,Alamosa County,CO,Alamosa County,,1.7467886589929593
County,Albany County,NY,Albany County,,0.1729533429368324
County,Albany County,WY,Albany County,,2.318563292032727
County,Albemarle County,VA,Albemarle County,,1.605619228021693
County,Alcorn County,MS,Alcorn County,,2.1629479941572383
County,Alexander County,NC,Alexander County,,2.9719614064046773
County,Allamakee County,IA,Allamakee County,,3.397271297457749
County,Allegan County,MI,Allegan County,,2.8715709610983353
County,Allegany County,MD,Allegany County,,1.351341932121941
County,Alleghany County,VA,Alleghany County,,1.2737738431857881
County,Allegheny County,PA,Allegheny County,,1.4630028225530278
County,Allen County,IN,Allen County,,5.358591991320605
County,Allen County,OH,Allen County,,2.7845996993370203
County,Alpena County,MI,Alpena County,,2.4134646070838484
County,Amador County,CA,Amador County,,1.974766457392163
County,Amherst County,VA,Amherst County,,2.3684707404508343
County,Anchorage Borough,AK,Anchorage Borough,,1.1267140487478011
County,Anderson County,KY,Anderson County,,2.9178935263215244
County,Anderson County,SC,Anderson County,,4.2740418055128515
County,Anderson County,TN,Anderson County,,3.1134796360193118
County,Anderson County,TX,Anderson County,,1.3188627278168719
County,Andrew County,MO,Andrew County,,2.489546818778754
County,Androscoggin County,ME,Androscoggin County,,2.773417926904087
County,Anne Arundel County,MD,Anne Arundel County,,0.9611796718582699
County,Anoka County,MN,Anoka County,,2.8932770728693935
County,Antrim County,MI,Antrim County,,2.851321812051899
County,Apache County,AZ,Apache County,,3.1311164399078883
County,Aransas County,TX,Aransas County,,2.938187113736146
County,Arapahoe County,CO,Arapahoe County,,1.4329547106313623
County,Archer County,TX,Archer County,,-3.9134503371747176
County,Arlington County,VA,Arlington County,,2.7809311366534084
County,Armstrong County,PA,Armstrong County,,2.605297775487636
County,Armstrong County,TX,Armstrong County,,0.6311093657218825
County,Ascension Parish,LA,Ascension Parish,,1.1659545308868813
County,Ashland County,OH,Ashland County,,3.4345634206998765
County,Ashtabula County,OH,Ashtabula County,,1.1277887824764576
County,Asotin County,WA,Asotin County,,0.7492644439462959
County,Athens County,OH,Athens County,,1.6400113835830732
County,Atlantic County,NJ,Atlantic County,,3.7450787027779597
County,Audrain County,MO,Audrain County,,3.68117035910549
County,Auglaize County,OH,Auglaize County,,2.7921011694017617
County,Augusta County,VA,Augusta County,,2.9698994383139388
County,Austin County,TX,Austin County,,2.5811867035320235
County,Autauga County,AL,Autauga County,,0.6143899590079771
County,Avoyelles Parish,LA,Avoyelles Parish,,0.9815821776601119
County,Baker County,FL,Baker County,,4.272433204923054
County,Baldwin County,AL,Baldwin County,,2.0874467993831303
County,Baldwin County,GA,Baldwin County,,5.481785699614106
County,Baltimore County,MD,Baltimore County,,-0.14913503251449134
County,Bandera County,TX,Bandera County,,1.8491574969245583
County,Banks County,GA,Banks County,,2.9943793662643214
County,Barber County,KS,Barber County,,-0.9431256992570747
County,Barnes County,ND,Barnes County,,1.6995786516740496
County,Barnstable County,MA,Barnstable County,,1.8444207959706915
County,Barron County,WI,Barron County,,3.042115792237521
County,Barrow County,GA,Barrow County,,5.470665070386604
County,Barry County,MI,Barry County,,2.2922026959203867
County,Barry County,MO,Barry County,,2.234984379678595
County,Bartholomew County,IN,Bartholomew County,,3.3051436412306012
County,Barton County,KS,Barton County,,-1.9852973542188068
County,Bartow County,GA,Bartow County,,4.718177836914683
County,Bates County,MO,Bates County,,2.0534073458847946
County,Baxter County,AR,Baxter County,,2.370774879102089
