"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim",0,624900,0.00417804917242488,0.00595621377978107,0.0215792054928887,0.0609841133920639,0.049083257164015,"2019-09","2019-Q3",624900,0,"2019-09"
2019-09-30,139,"Cook County","IL","Chicago-Naperville-Elgin",1,223300,0.000448028673835125,-0.003125,0.0072169598556608,0.0417498989850884,0.00977573001168985,"2007-01","2007-Q1",266800,-0.16304347826087,"2004-05"
2019-09-30,1090,"Harris County","TX","Houston-The Woodlands-Sugar Land",2,193800,0.00258665287118469,0.0109546165884194,0.044743935309973,0.0698091757590724,0.041138245857812,"2019-09","2019-Q3",193800,0,"2019-09"
2019-09-30,2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale",3,278800,0.00577200577200577,0.0149253731343284,0.0500941619585687,0.0712754829674158,0.0554652528843711,"2006-05","2006-Q2",290300,-0.0396141922149501,"2005-12"
2019-09-30,2841,"San Diego County","CA","San Diego-Carlsbad",4,593700,0.00118043844856661,0.00118043844856661,0.00575978316110452,0.0552139196203787,0.0494199280061223,"2019-09","2019-Q3",593700,0,"2019-09"
2019-09-30,1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim",5,726200,0.00442600276625173,0.00623527781626715,0.00400940135490115,0.0437990677538218,0.0402323479603313,"2019-01","2019-Q1",728100,-0.00260953165773932,"2018-12"
2019-09-30,581,"Kings County","NY","New York-Newark-Jersey City",6,776800,-0.00563236047107015,-0.0142131979695431,-0.00956266734667857,0.0582809533628428,0.0521797396972039,"2019-05","2019-Q2",789600,-0.0162107396149949,"2018-04"
2019-09-30,2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach",7,305200,0.00131233595800525,0.00560131795716639,0.023131076097888,0.0858270976449806,0.0659796131358523,"2007-01","2007-Q1",325000,-0.0609230769230769,"2006-04"
2019-09-30,978,"Dallas County","TX","Dallas-Fort Worth-Arlington",8,215000,0.00373482726423903,0.00938967136150235,0.0712506228201295,0.117260128565727,0.0612931889919472,"2019-03","2019-Q1",216700,-0.00784494693124135,"2019-02"
2019-09-30,1347,"Queens County","NY","New York-Newark-Jersey City",9,646100,-0.000154750851129681,0.00108459869848156,0.0117444409646101,0.063549740959878,0.0427761296288824,"2019-03","2019-Q1",651200,-0.00783169533169533,"2018-12"
