state_name,county_name,zip_code,share_of_homes_in_negative_equity
New York,Kings,11208,0.256313681602478
Illinois,Cook,60639,0.24631772935390472
New Jersey,Union,07062,0.2373417764902115
Connecticut,Fairfield,06610,0.23572295904159546
Illinois,Cook,60104,0.20080174505710602
Connecticut,Hartford,06118,0.19491130113601685
Illinois,Cook,60478,0.19161973893642426
Connecticut,Fairfield,06608,0.18679358065128326
Connecticut,Fairfield,06607,0.18482647836208344
Illinois,Cook,60629,0.1836777627468109
New Jersey,Essex,07108,0.18349981307983398
Connecticut,Fairfield,06605,0.17806418240070343
New Jersey,Union,07063,0.177607461810112
Illinois,Cook,60623,0.17437469959259033
Illinois,Cook,60419,0.17390206456184387
Illinois,Cook,60653,0.1722715049982071
California,Fresno,93606,0.17142857611179352
Illinois,Cook,60651,0.17110656201839447
Connecticut,Fairfield,06604,0.16768485307693481
Connecticut,Hartford,06114,0.16541515290737152
New Jersey,Essex,07114,0.16345062851905823
Connecticut,Hartford,06112,0.16300459206104279
Illinois,Cook,60624,0.16060054302215576
New Jersey,Essex,07107,0.16035199165344238
New Jersey,Union,07206,0.15975794196128845
Illinois,Cook,60804,0.15852032601833344
Illinois,Cook,60155,0.15798112750053406
New Jersey,Mercer,08618,0.15620999038219452
New Jersey,Middlesex,08832,0.15467625856399536
Illinois,Cook,60153,0.15435655415058136
Illinois,Cook,60409,0.15304364264011383
New Jersey,Essex,07106,0.15188540518283844
New Jersey,Essex,07112,0.15025906264781952
North Dakota,Ward,58722,0.14978903532028198
Connecticut,New Haven,06519,0.14842382073402405
Connecticut,Fairfield,06606,0.1471981704235077
California,Fresno,93702,0.14699840545654297
Connecticut,Hartford,06120,0.14650456607341766
Connecticut,Litchfield,06098,0.14620758593082428
Connecticut,Hartford,06051,0.14607882499694824
California,Los Angeles,93591,0.14564913511276245
Florida,Miami-Dade,33168,0.14527808129787445
Illinois,Cook,60165,0.14469914138317108
New Jersey,Essex,07104,0.14236551523208618
Rhode Island,Providence,02907,0.14194811880588531
New Jersey,Union,07201,0.14193150401115417
New Jersey,Atlantic,08330,0.14160239696502686
Illinois,Lake,60085,0.1407606303691864
New Jersey,Essex,07103,0.14039598405361176
New Jersey,Union,07202,0.13870541751384735
Connecticut,New Haven,06513,0.13838550448417664
Connecticut,New Haven,06710,0.13789473474025726
New Jersey,Union,07208,0.13781890273094177
Connecticut,Hartford,06040,0.13776935636997223
Illinois,Cook,60652,0.13772407174110413
New Jersey,Camden,08081,0.13728751242160797
Illinois,Cook,60195,0.13703382015228271
Illinois,Cook,60402,0.13654865324497223
Illinois,Cook,60644,0.13625560700893402
New Jersey,Mercer,08608,0.13592232763767242
Connecticut,New London,06380,0.13508065044879913
Illinois,Cook,60473,0.13467761874198914
Rhode Island,Providence,02909,0.1341736763715744
Florida,Miami-Dade,33147,0.13411787152290344
California,Alameda,94621,0.1337268054485321
Connecticut,Hartford,06106,0.13344806432724
Arizona,Mohave,86021,0.13245032727718353
California,Los Angeles,90001,0.13231916725635529
Maryland,Baltimore,21244,0.13226355612277985
New Jersey,Union,07088,0.1317494660615921
New Jersey,Essex,07018,0.13161742687225342
Louisiana,East Baton Rouge,70814,0.13053712248802185
Connecticut,Windham,06264,0.1304347813129425
Maryland,Prince Georges,20743,0.12913282215595245
New Jersey,Atlantic,08232,0.12897264957427979
Illinois,Cook,60469,0.1288936585187912
California,Yolo,95653,0.12878787517547607
California,Kern,93505,0.12842808663845062
Connecticut,New London,06320,0.1278626024723053
Massachusetts,Essex,01840,0.12647059559822083
New Jersey,Passaic,07522,0.1258462816476822
Illinois,Lake,60083,0.12549574673175812
New Jersey,Passaic,07055,0.12517669796943665
Arizona,Maricopa,85017,0.1248699277639389
Arizona,Maricopa,85031,0.12378987669944763
Illinois,Cook,60649,0.12338072806596756
Connecticut,Fairfield,06615,0.12331606447696686
Illinois,Kendall,60545,0.12306349724531174
Illinois,Cook,60612,0.12298711389303207
Illinois,Cook,60466,0.12112236768007278
New Jersey,Camden,08109,0.12008043378591537
Maryland,Worcester,21822,0.11987704783678055
Illinois,Cook,60443,0.11955341696739197
Iowa,Keokuk,52231,0.11801242083311081
New Jersey,Hudson,07304,0.11774613708257675
Florida,Miami-Dade,33167,0.11721443384885788
New Jersey,Mercer,08609,0.11714379489421844
Maryland,Prince Georges,20782,0.11704875528812408
Rhode Island,Providence,02908,0.11666463315486908
Maryland,Wicomico,21874,0.11630695313215256
Illinois,Cook,60160,0.11622216552495956
California,Monterey,93960,0.11608721315860748
Florida,Miami-Dade,33056,0.11604774743318558
Connecticut,New Haven,06705,0.11604562401771545
Illinois,Cook,60411,0.11602405458688736
Connecticut,New Haven,06704,0.11595111340284348
Arizona,Pima,85706,0.11533994227647781
Arizona,Maricopa,85035,0.1148819550871849
Illinois,Cook,60619,0.11479317396879196
New Jersey,Atlantic,08205,0.11387091130018234
Florida,Miami-Dade,33055,0.11354359984397888
Illinois,Cook,60429,0.11319104582071304
Rhode Island,Providence,02863,0.1130329817533493
New Jersey,Passaic,07502,0.11270718276500702
Ohio,Hamilton,45033,0.1124260351061821
Massachusetts,Worcester,01610,0.11227153986692429
Illinois,Cook,60162,0.1121223121881485
Illinois,Cook,60637,0.11178826540708542
Illinois,DuPage,60504,0.11169121414422989
New Jersey,Atlantic,08350,0.11167512834072113
New Jersey,Middlesex,08861,0.11108481884002686
Illinois,Lake,60064,0.11093350499868393
New Jersey,Ocean,08733,0.11079545319080353
Massachusetts,Hampden,01109,0.11048950999975204
Maryland,Prince Georges,20785,0.1104094535112381
New Jersey,Union,07203,0.11026033759117126
Illinois,Cook,60632,0.11025693267583847
Illinois,Cook,60428,0.11018266528844833
Maryland,Charles,20602,0.10973235964775085
Florida,Marion,34473,0.10948081314563751
Maryland,Caroline,21660,0.10947205126285553
Illinois,Cook,60641,0.1088285893201828
New Jersey,Essex,07111,0.1084691733121872
Ohio,Erie,44089,0.10845641791820526
Maryland,Charles,20616,0.10819411277770996
Connecticut,Hartford,06091,0.10810811072587967
New York,Nassau,11550,0.1080729141831398
Illinois,Cook,60626,0.10803354531526566
Pennsylvania,Westmoreland,15684,0.10769230872392654
New Jersey,Passaic,07524,0.10756972432136536
Maryland,Wicomico,21837,0.1074468120932579
Florida,Brevard,32908,0.1071881577372551
Connecticut,Hartford,06108,0.10688190162181854
Iowa,Fayette,50671,0.10679611563682556
New York,Rockland,10927,0.1066364124417305
New Jersey,Burlington,08046,0.10656879842281342
New York,Suffolk,11798,0.10655111074447632
Illinois,DeKalb,60112,0.10642317682504654
California,Fresno,93616,0.10638298094272614
New Jersey,Passaic,07504,0.10565240681171417
Maryland,Wicomico,21830,0.10559440404176712
Illinois,Cook,60803,0.104947529733181
Illinois,Cook,60827,0.10483624041080475
Florida,Miami-Dade,33127,0.10480614006519318
Florida,Miami-Dade,33177,0.1045260801911354
Maryland,Baltimore,21133,0.10451977699995041
Nevada,Clark,89030,0.104275181889534
Maryland,Prince Georges,20710,0.10388513654470444
New Jersey,Essex,07050,0.10311809182167053
Connecticut,Windham,06239,0.10277613997459412
Maryland,Caroline,21629,0.10270603001117706
New Jersey,Gloucester,08066,0.10266847908496857
California,Solano,94589,0.10254020243883133
New Jersey,Burlington,08075,0.10253096371889114
New Jersey,Essex,07102,0.1025179848074913
Maryland,Baltimore City,21214,0.10251748561859131
California,Calaveras,95224,0.10240963846445084
New Jersey,Union,07060,0.10220886021852493
Connecticut,New London,06351,0.10219478607177734
Illinois,Cook,60617,0.10218899697065353
Illinois,Cook,60534,0.1021522656083107
New Jersey,Middlesex,08901,0.10202942043542862
Maryland,Wicomico,21875,0.10180412232875824
