state_name,county_name,zip_code,pct_homes_negative_equity
New York,Kings,11208,25.63
Illinois,Cook,60639,24.63
New Jersey,Union,07062,23.73
Connecticut,Fairfield,06610,23.57
Illinois,Cook,60104,20.08
Connecticut,Hartford,06118,19.49
Illinois,Cook,60478,19.16
Connecticut,Fairfield,06608,18.68
Connecticut,Fairfield,06607,18.48
Illinois,Cook,60629,18.37
New Jersey,Essex,07108,18.35
Connecticut,Fairfield,06605,17.81
New Jersey,Union,07063,17.76
Illinois,Cook,60623,17.44
Illinois,Cook,60419,17.39
Illinois,Cook,60653,17.23
California,Fresno,93606,17.14
Illinois,Cook,60651,17.11
Connecticut,Fairfield,06604,16.77
Connecticut,Hartford,06114,16.54
New Jersey,Essex,07114,16.35
Connecticut,Hartford,06112,16.3
Illinois,Cook,60624,16.06
New Jersey,Essex,07107,16.04
New Jersey,Union,07206,15.98
Illinois,Cook,60804,15.85
Illinois,Cook,60155,15.8
New Jersey,Mercer,08618,15.62
New Jersey,Middlesex,08832,15.47
Illinois,Cook,60153,15.44
Illinois,Cook,60409,15.3
New Jersey,Essex,07106,15.19
New Jersey,Essex,07112,15.03
North Dakota,Ward,58722,14.98
Connecticut,New Haven,06519,14.84
Connecticut,Fairfield,06606,14.72
California,Fresno,93702,14.7
Connecticut,Hartford,06120,14.65
Connecticut,Litchfield,06098,14.62
Connecticut,Hartford,06051,14.61
California,Los Angeles,93591,14.56
Florida,Miami-Dade,33168,14.53
Illinois,Cook,60165,14.47
New Jersey,Essex,07104,14.24
Rhode Island,Providence,02907,14.19
New Jersey,Union,07201,14.19
New Jersey,Atlantic,08330,14.16
Illinois,Lake,60085,14.08
New Jersey,Essex,07103,14.04
New Jersey,Union,07202,13.87
Connecticut,New Haven,06513,13.84
Connecticut,New Haven,06710,13.79
New Jersey,Union,07208,13.78
Connecticut,Hartford,06040,13.78
Illinois,Cook,60652,13.77
New Jersey,Camden,08081,13.73
Illinois,Cook,60195,13.7
Illinois,Cook,60402,13.65
Illinois,Cook,60644,13.63
New Jersey,Mercer,08608,13.59
Connecticut,New London,06380,13.51
Illinois,Cook,60473,13.47
Rhode Island,Providence,02909,13.42
